Agg Node,State,Hours,Bandwidth (Mbps),98th-%ile Payload (Mbps),*Spurious Capacity Provided,Total BW Limited Hours,BW Limited Days,Total Statistical Clipping Hours,Statistical Clipping Days,Likely Also RAN Limited,Congestion Model Fit,Model Congestion of Interest,Rank,Node ,Unknown
WWFE0T1,NSW,564,10000,19.4,,0,0,14,3,Yes,Good,High,1,WWFEEBA,0.05196198
RHSJ0X1,NSW,534,1000,73.45,,0,0,22,5,Yes,Poor,High,2,RHSJEBA,0.03877596
WIFS0X1,QLD,530,123,66.45,,0,0,25,7,No,Poor,High,3,WIFSFM0,0.03532516
CCCD0X1,VIC,536,1000,14.22,,0,0,13,3,No,Good,High,4,CCCDEBA,0.03195519
QGKB0X1,QLD,531,81,71.52,,4,1,25,4,No,Poor,High,5,QGKBEM1,0.03062341
MVVR0X1,NT,529,39,33.24,,2,1,22,4,No,Poor,High,6,MVVRFM1,0.03044283
MVMD0X1,NSW,554,207,110.16,,0,0,25,8,No,Poor,High,7,MVMDFM2,0.02964221
WHZC0X1,TAS,539,123,49.88,,0,0,22,6,No,Moderate,High,8,WHZCFM0,0.02958829
DIUR0X1,WA,530,39,37.84,,14,5,23,5,No,Poor,High,9,DIURFM1,0.02940744
CYRM0X1,QLD,528,165,109.49,,0,0,44,11,Yes,Good,High,10,CYRMFM1,0.02783343
AUKV0X1,NT,545,81,25.13,,0,0,16,5,No,Poor,High,11,AUKVFU0,0.02706007
CNQP0T1,WA,581,257,117.6,,0,0,17,3,Yes,Moderate,High,12,CNQPFM1,0.02646207
MOAD0X1,TAS,556,123,87.63,,0,0,27,7,Yes,Moderate,High,13,MOADFM1,0.02633356
DRTV0X1,QLD,527,123,110.78,,0,0,50,9,Yes,Moderate,High,14,DRTVFM1,0.02632889
DPGE0X1,QLD,529,165,110.55,,0,0,28,11,Yes,Good,High,15,DPGEFM1,0.02627493
NFRO0X1,WA,529,39,38.31,,29,5,32,5,No,Poor,High,16,NFROFM1,0.02621755
PMRF0T1,NSW,564,123,105.39,,0,0,38,9,Yes,Moderate,High,17,PMRFFM1,0.02592891
TABM0X1,QLD,529,165,109.85,,0,0,23,5,No,Poor,High,18,TABMEM1,0.0259095
BJEF0X1,WA,529,39,30.53,,1,0,16,4,No,Poor,High,19,BJEFFM1,0.02546389
BJXM0X1,NSW,553,39,38.59,,67,15,83,18,No,Moderate,High,20,BJXMFM1,0.02536991
YROC0T1,NSW,564,77,76.38,,73,15,85,18,No,Moderate,High,21,YROCFM1,0.02502567
ALGQ0X1,QLD,531,123,70.96,,0,0,15,3,Yes,Moderate,High,22,ALGQFM1,0.02484355
CHKD0T1,WA,567,123,75.44,,0,0,22,5,Yes,Moderate,High,23,CHKDFM1,0.02456518
DNDH0X1,NSW,536,123,97.43,,0,0,27,6,Yes,Moderate,High,24,DNDHFM1,0.02454572
GSRD0X1,TAS,555,77,77.12,,302,25,301,25,Yes,Good,High,25,GSRDFM1,0.02427563
CEDD0X1,QLD,527,123,117.62,,14,3,37,10,No,Moderate,High,26,CEDDEM1,0.02417501
SWHL0X1,SA,554,123,64,,0,0,23,5,No,Poor,High,27,SWHLFM1,0.02401741
MGWC0X1,QLD,549,123,53.95,,0,0,19,4,No,Poor,High,28,MGWCFM0,0.0236443
YIED0X1,VIC,555,123,61.5,,0,0,29,7,No,Poor,High,29,YIEDFM1,0.0235762
